name,proc_name
"anti-müllerianhormone(eclia),canine,felineeclia",Antimüllerian
antisedan,Antisedan
antisedan®vet.5mg/ml10ml,Antisedan
antisedan®vet.5mg/ml10x10ml,Antisedan
antisedan®vet.inj5mg/ml,Antisedan
antisedaninj5mg/ml/ml,Antisedan
"antisedanper0,1ml",Antisedan
antisept100ml,Antisept
"antytoksyna,ormserum",Antytoksyna
anxitanes,Anxitane
anxitanes30tabl,Anxitane
anxitanesld,Anxitane
apomorfin/ampull,Apomorfin
apomorfinbehandling,Apomorfin
apomorfinexkl.akutavgiftochundersökning,Apomorfin
apomorfininjapl5mg/ml,Apomorfin
apomorfininklpol.,Apomorfin
apomorfinkräkning(exkluns),Apomorfin
apomorfinvet.apl5mg/ml10x1ml,Apomorfin
apomorfinvet.apl5mg/ml10x1mlinjektampull,Apomorfin
apomorfinvet.aplinj5mg/ml,Apomorfin
aptusaptobalance,Aptus
aptusattapectin30tbl,Aptus
aptusattapectintablett,Aptus
aptusbioriontabl60stld,Aptus
aptusbucadogsmall224gld,Aptus
aptusdermagel100ml,Aptus
aptuseyedrops10ml,Aptus
aptuseyegel,Aptus
aptuseyegel10ml,Aptus
aptusglyco-flexoptimal60ld,Aptus
aptusglyco-flexoptimalminild,Aptus
aptushop-flex60bitar,Aptus
aptushop-flexmini60st,Aptus
aptushop-flexplus60bitar,Aptus
aptushop-flexplus60st,Aptus
aptushop-flexplusmini60bitar,Aptus
aptusnutrisal180g,Aptus
aptusrecoveryboostercat60g,Aptus
aptusrecoveryboosterdog100g,Aptus
aptusrelax,Aptus
aptussentrxeye,Aptus
aptussentrxeyegel3ml,Aptus
aptussportxstyck,Aptus
aptusuribalance,Aptus
aptusuribalance60st,Aptus
aptusuribalancetuggtabl60,Aptus
aptusuribalancetuggtabl60ld,Aptus
aquacelfoamvidhäftande10x10cm,Aquacel
aranesp10mkg,Aranesp
arbeteanalys1,Arbete-Analys
arbeteanalys2,Arbete-Analys
arbeteanalys3,Arbete-Analys
arbeteanalyshematologiintern,Arbete-Analys
arbeteanalyskliniskkemiintern,Arbete-Analys
artroskopi-diagnos+åtgärd.enkelsidig,Artroskopi-Diagnostisk
artroskopi-diagnostisk.enkelsidig,Artroskopi-Diagnostisk
artuvertinfoderallergi,Artuvertin
artuvertinskand.panel,Artuvertin
artuvertinskand.panel+foder,Artuvertin
artuvetallergipanel,Artuvertin
artuvetrin,Artuvetrin
artuvetrin/next+foderreaktionstest,Artuvetrin
artuvetrin/next+skandinaviskpanel+foder,Artuvetrin
artuvetrin4allergen,Artuvetrin
artuvetrin5-8allergener,Artuvetrin
artuvetrinnordiskpanel,Artuvetrin
artuvetrinserumtest,Artuvetrin
artuvetrinterapi1-4allergen10ml,Artuvetrin
arvodeavlivninghund,Avgift
arvodeavlivningkatt,Avgift
arvodecartrophen-paket,Avgift
"arvodeinhalationsanestesi<0,5h",Avgift
"arvodeinhalationsanestesi>2,5h",Avgift
"arvodeinhalationsanestesi0,5-1,5h",Avgift
"arvodeinhalationsanestesi1,5-2,5h",Avgift
arvodeinjektionsanestesi,Avgift
arvodeinternlab,Avgift
arvodeklokapsel,Avgift
arvodenkhanhund,Avgift
arvodereceptvidbesök,Avgift
arvodesårskada/drän,Avgift
arvodesedering<10kg,Avgift
arvodesedering>25kg,Avgift
arvodesedering10-25kg,Avgift
arvodesolensia-beh,Avgift
"arvodesuprelorin9,4mg",Avgift
arvodetandstenlindrigkatt,Avgift
arvodetandstenmåttligkatt,Avgift
arvodevaccinationdhppi,Avgift
arvodevaccinationducat,Avgift
arvodevaccinationpi,Avgift
arvodevaccinationrabies,Avgift
arvodevaccinationtricat,Avgift
asat,Asat
aspiratprovtagning/biopsi,Aspirat
assistenthalvtimme,Assistent
ast,Ast
återbesök,Besök
återbesök-hud,Besök
återbesök-orto,Besök
återbesök-veterinär,Besök
"återbesök-veterinärbokatupptill10""",Besök
"återbesök-veterinärbokatupptill10""pol",Besök
"återbesök-veterinärbokatupptill20""pol",Besök
"återbesök-veterinärbokatupptill30""pol",Besök
återbesök1enkel,Besök
återbesök2,Besök
återbesökenkel,Besök
återbesökhudutredning,Besök
återbesökklåda/hud/öron,Besök
återbesökögonmottagning,Besök
återbesöksavgift,Avgift
återbesökspecialist,Besök
återbesöksundersökning,Besök
återbesöksundersökninghäst,Besök
återbesökveterinär,Besök
återströssel/smådjur,Besök
åtgärdenkel,Åtgärd
åtgärdmedel,Åtgärd
atipamvet.5mg/ml10ml,Atipam
"atropin0,5mg/ml",Atropin
atropin0.5mg/ml10x1mlinjektampull,Atropin
atropin0.5mg/ml20mlinjektinjekt,Atropin
"atropin1%endosbehållare0,5ml",Atropin
atropinbausch&lomb,Atropin
attane1000mg/g,Attane
attanevet1000mg/g250mlinhalaflaska,Attane
attapectin,Attapectin
attapectin30tabl,Attapectin
avf.provfloatationimagyst,Avf.Prov
avf.provgiardiainterntimagyst,Avf.Prov
avföringsprovsvamagtarmparasiter,Avf.Prov
avgiftakut-efteranmälan,Avgift
avgiftförsenavbokning/uteblivetbesök(pol),Avgift
avgiftregleringförsbolag,Avgift
avl.hund+gem.krem.,Avl
"avl.katt,enbartavlivning",Avl
avl.katt+sep.krem.,Avl
"avl.smådjur,enbartavlivning",Avl
avl.smådjur+gem.krem.,Avl
avlägsandeavfrämmandekroppsår,Avlägsnande
avlägsnandeavfrämmandekroppisvalg/hals,Avlägsnande
avlägsnandefrämmandekroppövrig,Avlägsnande
avlägsnandegrässtrånäshåla,Avlägsnande
avlägsnandeklokapsel,Avlägsnande
avlägsnandetandstenultraljud1,Avlägsnande
avlägsnandetandstenultraljud2,Avlägsnande
avlägsnandetandstenultraljud3,Avlägsnande
"avläsningavexternaröntgenxbild,arvode",Avlägsnande
"avläsningavröntgen,specialist",Avlägsnande
avläsningrtg-bilders-holm1-6,Avlägsnande
avlavlivninghundupptill25kg,Avl
avlavlivningkatt,Avl
avlhdhem,Avl
avlhund<25kg+separatkremering,Avl
avlhund<25kg+vanligkremering,Avl
avlhundseparatkremering,Avl
avlivnhund,Avlivning
avlivnhund10-30kg,Avlivning
avlivnhund30-50kg,Avlivning
avlivnhund40kg,Avlivning
avlivning-tilläggförsedering,Avlivning
avlivning+kremeringkatt,Avlivning
avlivning+kremkatt/kanin,Avlivning
avlivning+sep.kremhund<25kg,Avlivning
avlivning+sep.kremhund>25kg,Avlivning
avlivning+sep.kremhundliten,Avlivning
avlivning+sep.kremkatt,Avlivning
avlivning+sepkremhundmedel,Avlivning
avlivningfarmakologisk,Avlivning
avlivningfarmakologisksamtomhändertagande,Avlivning
avlivningfarmakologiskvidannanåtgärd,Avlivning
avlivninggruppkremeringkatt,Avlivning
"avlivninghäst,medicinsk",Avlivning
avlivninghästmekanisk,Avlivning
avlivninghoskund,Avlivning
avlivninghund,Avlivning
avlivninghund-skellefteå,Avlivning
"avlivninghund,enbart",Avlivning
avlivninghund(exkremering),Avlivning
avlivninghund+separatkremering,Avlivning
avlivninghund>40kg,Avlivning
avlivninghundallmänkremering,Avlivning
avlivninghundinklseparatkremering,Avlivning
avlivninghundinklseparatkremering<30kg,Avlivning
avlivninghundpågåendebesök,Avlivning
avlivninghundseparatkremering,Avlivning
"avlivninginklallmänkremering,2-5kg",Avlivning
"avlivninginklallmänkremering,5-10kg",Avlivning
avlivninginklsamkremering<20kghund,Avlivning
avlivninginklsamkremeringkatt,Avlivning
"avlivninginklseparatkremering,0-2kg",Avlivning
avlivninginksep.krem.hund,Avlivning
avlivninginksep.krem.katt,Avlivning
avlivningkanin,Avlivning
"avlivningkanin,inklomhändertagande",Avlivning
avlivningkatt,Avlivning
avlivningkatt-skellefteå,Avlivning
avlivningkatt/kanin,Avlivning
avlivningkatt/kaninpågåendebesök,Avlivning
avlivningkatt+kollektivkremering,Avlivning
avlivningmedicinsk,Avlivning
avlivningmedicinskhästinklhämtning,Avlivning
avlivningmekanisk,Avlivning
avlivningseparatkrem.katt,Avlivning
avlivningsmådjur,Avlivning
avlivningupptill40kg,Avlivning
avlivningvidannanåtgärd,Avlivning
avlivnkatt(exklkrem),Avlivning
avlivnsep.krem.hund,Avlivning
avlkanin+vanligkremering,Avl
avlkaningem.krem.,Avl
avlkatt,Avl
avlkatt+vanligkremering,Avl
avlkattvanligkremering,Avl
avlossningavefterbörd,Avlossning
"avlossningefterbörd,häst",Avlossning
avlseparatkremering;hund,Avl
avmagringsutredning,Avmaskning
avmaskning,Avmaskning
avmaskningexkl.medicin(arvodeförintygipass),Avmaskning
avmaskninginkl.intyg,Avmaskning
"avmaskninginklstämpel,exltablett",Avmaskning
"avtagandeavsko,häst",Avtagning
avtagningavgipsmedel,Avtagning
avtagningsko,Avtagning
b-hematologi-paket,B-Hematologi-Paket
"b-hematologi-paket(b-hb,b-evf,b-lpk+diff)",B-Hematologi-Paket
b-trombocyter,B-Trombocyter
b12,B12
"b12,folsyractlihundidexx",B12
"b12,folsyraexternlab",B12
b12/folat,B12
b12+folsyra,B12
b12+folsyrauds,B12
b12katt/hundidexx,B12
bacc,Bacteriology
bacr,Bacteriology
bacteriologicalculture(+antibiogram),Bacteriology
"bacteriologicculture,urine(aerobic)culture",Bacteriology
bacteriologicculture(aerobic)–includingdifferentiationandresistancetestingculture,Bacteriology
"bacteriology,aerobiccultureswab,ear",Bacteriology
"bacteriology,aerobiccultureswab,wound",Bacteriology
bacteriology(aerobic+anaerobic),Bacteriology
bactrim40mg/ml+8mg/ml,Bactrim
bajspåsar50st,Bajspåse
bajspåsetrixie,Bajspåse
bakbenamputationkattarvode,Bakbenamputation
bakt-(mikrobiolog),Bacteriology
bakt.ochres.microb.,Bacteriology
bakt.odling+resistens,Bacteriology
bakt/svampprovtagning,Bacteriology
bakt&resistens1provanaerob+aerob,Bacteriology
bakt&resistens1provsvaaerob,Bacteriology
bakt&resistenstilläggprovnr2sammadjur,Bacteriology
bakt+residexx,Bakt+Resid
bakt+resistens,Bacteriology
bakt+resistens(mikrobiolog),Bacteriology
bakt+resmibi,Bacteriology
bakt+resmibi(urinodlingpålab),Bacteriology
bakt+resmibiöra,Bacteriology
bakt+ressva(provtagetviduljuds),Bacteriology
bakterie-odlingidexxdiff+res,Bacteriology
bakteriologi+resistens,Bacteriology
bakteriologi+resistens1material,Bacteriology
bakteriologi+resistens2material,Bacteriology
bakteriologiaerob+resistens1mtrl,Bacteriology
bakteriologiinklresistens,Bacteriology
bakteriologiochmykologi,Bacteriology
bakteriologiskodlinginterntlab,Bacteriology
bakteriologiskodlingövrig(internanalys),Bacteriology
bakteriologiskodlingurin(internanalys),Bacteriology
baktodl.microbiologen,Bacteriology
baktodlaerob+res1materialsva,Bacteriology
baktodling+evresistens,Bacteriology
baktodling1material,Bacteriology
"baktprovspinnekol,steril",Bacteriology
band,Band
"bandage,enkel",Band
"bandage,medel",Band
"bandage,svår",Band
bandage(utankompress/salva),Band
bandagebyte,Band
bandagebyte+material,Band
bandageenkeltinklmaterial,Band
bandagekitlitet,Band
bandageläggning,Band
bandageläggningnormal,Band
bandageläggningomfattande,Band
bandageläggningsköt,Band
bandagelätt,Band
bandagelätt/sporre(utankompress/salva),Band
bandagelinss&vtech.,Band
"bandagelitet(exklpol,inklmaterial)",Band
bandagematerial,Band
bandagematerialtass,Band
bandagematerialtilldjurägare,Band
bandagemedel,Band
bandagemedelstortinkl.mat.,Band
bandageöverdragmedipaw,Band
bandagepaket,Band
bandagering,Band
bandagering1,Band
bandagering2,Band
bandagering3,Band
bandageringenkel,Band
"bandageringhäst,enkel",Band
"bandageringhäst,medel",Band
bandageringhov,Band
bandageringliten(tass),Band
bandageringmedel,Band
bandageringstorexklusivematerial,Band
bandagestort(exklpol&material),Band
bandagesvår(typrj),Band
bandagex2medvetramilochsorbact,Band
bandneutrofila,Band
basavgift,Avgift
basavgift2,Avgift
basavgift3,Avgift
basavgift4,Avgift
basavgiftklinik1,Avgift
basavgiftklinik2,Avgift
basavgiftklinik3,Avgift
basavgiftklinik4,Avgift
baso,Basofila
basofila,Basofila
baytril®vet.100mg/ml50mlinjektinjekt,Baytril
baytril®vet.150mg20sttabletbliste,Baytril
baytril®vet.25mg/ml50mlinjektinjekt,Baytril
baytril®vet.inj100mg/ml,Baytril
baytril®vet.inj25mg/ml,Baytril
baytril50mg,Baytril
baytrilvet..tablett150mg,Baytril
baytrilvet..tablett50mg,Baytril
baytrilvetinj25mg/ml,Baytril
"bedövning,lokal",Bedövning
bedövninghältaenkel,Bedövning
bedövninghältahas/knä,Bedövning
bedövningled,Bedövning
bedövninglokal,Bedövning
bedövningnervblockad,Bedövning
bedövningnerver,Bedövning
behandling,Behandling
behandlinganaplasmos,Behandling
behandlingfoderstrupsförstoppning,Behandling
behandlinghov,Behandling
behandlinginkl.förbrukningsvår.,Behandling
behandlingkolik,Behandling
behandlingkvarblivenefterbördhäst,Behandling
behandlingled/senskida,Behandling
behandlinglokal,Behandling
behandlingmedel,Behandling
behandlingospec.,Behandling
behandlingövrigt,Behandling
behandlingperoral,Behandling
behandlingrygg,Behandling
behandlingsår1,Behandling
behandlingsår2,Behandling
behandlingsår3,Behandling
behandlingsårenkel,Behandling
"behandlingsårenkel,häst",Behandling
behandlingsårmedel,Behandling
"behandlingsårmedel,häst",Behandling
behandlingsåromfattande,Behandling
behandlingstötvåggrund,Behandling
behepan®1mg/ml5x1mlinjektampull,Behepan
behsuprelorin,Bedövning
bensylpenicillinmedapulverförinjektion,Bensylpenicillin
besiktningvuxenhund/katt,Besiktning
besökallmän,Besök
besökendasttand,Besök
besökgrundavgift-allasmådjursklinikbesökperdjur,Besök
besökgrundavgift(station)-allasmådjursklinikbesökperdjur,Avgift
besöklibrela/cytopointinj,Besök
besököppenmottagning,Besök
besökutökat,Besök
besökveterinär,Besök
besökveterinär-kort,Besök
besökveterinär45min,Besök
besökveterinärtandkoll,Besök
beställahemimmunterapiheskasublingual1:agångeninklgenomgång,Beställa
betnovat,Betnovat
betnovat®1mg/ml30mlkutanflaska,Betnovat
betnovatkutanlösning[1mg/ml]30ml,Betnovat
beviplex,Beviplex
beviplex/perml,Beviplex
beviplex®vet.100mlinjektinjekt,Beviplex
beviplex®vet.inj,Beviplex
beviplexcompb-vitaminer,Beviplex
beviplexinj/ml,Beviplex
bil,Avgift
bilavgift<10km,Avgift
bilavgift>10km,Avgift
bilavgiftkilometer,Avgift
bile,Bile
bileacids,Bile
bileacids*,Bile
bili,Bili
bimotrim200mg/ml+40mg/ml,Bimoxyl
bimoxyl,Bimoxyl
bimoxyl150mg/ml,Bimoxyl
bimoxylinj150mg/ml,Bimoxyl
bimoxylperml,Bimoxyl
bimoxylvet.150mg/ml,Bimoxyl
bimoxylvet.150mg/ml100ml,Bimoxyl
bimoxylvet.150mg/ml100mlinjektinjekt,Bimoxyl
bimoxylvet.150mg/ml12x100mlinjektinjekt,Bimoxyl
biokemibas,Biokemi
biokemiutökad,Biokemi
biomehundstew354g,Biome
"biopsi,hud",Biopsi
biopsi/aspiratgrundavgift2,Biopsi
"biopsihud,stans1-3",Biopsi
biopsimagsäck/tarmgastroskopi,Biopsi
biopsimedbiopsipunchinkl.sutur,Biopsi
biopsiövrigvidlaparatomiperstk,Biopsi
biopsipunch,Biopsi
biopsitagning,Biopsi
"biopsitagnperstinklsut,exklnarkos",Biopsi
biopsividendoskopi,Biopsi
biopsiytligtumör,Biopsi
biopteringslemhinna,Biopsi
biorionld,Biorion
"biovet,cytologi1organ/vävnad",Biovet
biovetcytologikompl.tillpad,Biovet
biovetcytologiperfall1org.,Biovet
biovetpad1organ,Biovet
biovetpadperfall1organ/väv,Biovet
biovetpadperfall2-3organ,Biovet
biurat,Biurat
bizzipaste75ml,Bizzipaste
bld,Blod
blodanalyscatalystccrphund,Blod
blodanalyscatalystclip10,Blod
blodanalyscatalystclip17,Blod
blodanalyscatalystlevervärdenalp+alat,Blod
blodanalyscatalystnjurarkrea+urea+fos,Blod
blodanalyscatalystsdma,Blod
blodanalyshematol+clip10+lyte4+sdma,Blod
blodanalyshematol+clip17+lyte4+sdma,Blod
blodanalyshematologi+clip10,Blod
blodanalyshematologi+clip10+sdma,Blod
blodanalyshematologi+clip17,Blod
blodanalyshematologi+clip17+lyte4,Blod
blodanalyshematologi+clip17+sdma,Blod
blodanalyslasercytehematologi,Blod
blodanalysprocytehematologi,Blod
blodanalysspecplkt/hdsolo,Blod
blodanalystott4hd/ktsolo,Blod
"blodbild,stor",Blod
blodint.cpl,Blod
blodint.fpl,Blod
blodöra,Blod
blodöratömninghundochkatt,Blod
blodprofilbas,Blod
blodprofilutökad,Blod
blodprov,Blod
blodprovalat,Blod
blodprovborr/anaplidexx4dx,Blod
"blodprovcplidexx,pankreas",Blod
blodprovfplsnap,Blod
blodprovsaa,Blod
blodprovsmaskiner,Blod
blodprovstagnhosdjursjukvisambmannatbesök,Blod
blodprovstagning,Blod
blodprovstagning/provtagn.ext,Blod
blodprovstagning+analysintern,Blod
blodprovstagningremissanalyser,Blod
blodprovstagningtilllabanalys,Blod
blodprovstagnuppföljinklpol,Blod
blodprovtagningexternanalys,Blod
blodprovtagninginternanalys,Blod
blodstatuslitenchem10+hem,Blod
blodstatuslitenextrachem10+hem+lyte4+crp,Blod
blodstatusmellan/njurhem+chem15+lyte4,Blod
blodstatusmellanchem15+hem,Blod
blodstatusstorchem17+hema,Blod
blodtryck,Blod
blodtryckmätning,Blod
blodtrycksmätning,Blod
blodtrycksmätning1a,Blod
blodtrycksmätningåter,Blod
blodtrycksmätninguppföljande,Blod
blodutstryk,Blod
blodutstrykintern,Blod
"bloodcount(large),mammal",Blod
body,Body
"body,katt",Body
body/postop.skyddkatt,Body
bodyhund2xs,Body
"bodyhundblå,m",Body
bodyhundm+,Body
bodyhunds,Body
bodyhunds+,Body
bodyhundxl,Body
bodyhundxs,Body
bodykamo,Body
bodykatt,Body
bodykatt(oavsettstorlek),Body
bodykatt2xs,Body
bodykattxs,Body
bodykattxxs,Body
"bodys,m,l",Body
bodystrl.1,Body
bodystrl.2,Body
bodysuithund,Body
bodysuitkatt,Body
bodytrixiem,Body
bodytrixiem-l,Body
bodytrixies,Body
böjprovhäst,Böjprov
böjprovhund,Böjprov
"böld,kattellerhund",Böld
böldsvår(inkldränageochdräntagning),Böld
bomull1kg,Bomull
borrelia/anaplasmaserologi,Borrelia
borrelia/erlihiasnabbtest,Borrelia
borreliablot,Borrelia
botvaxbamp12x2ml,Botvax
botvaxbvetinj12x2ml(12doser),Botvax
britburkintestinalhund104100287,Brit
brithypo2kghundartnr:170939,Brit
brithypo400gburkhundartnr:1002600,Brit
britintestinal400gburkhund104100287,Brit
britintestinalhund2kgartnr:170945,Brit
broadline,Broadline
"bucadog,tandpasta",Bucadog
bukbråck/navelbråck,Bulbextirp
bukultraljudfast,Bulbextirp
bulbextirp,Bulbextirp
bulbextirpation,Bulbextirp
bulbextirpationkatttotal,Bulbextirp
bulbextirpationoperation,Bulbextirp
bun,Bun
bun(urea),Bun
bun/crea,Bun
bun/crea(urea),Bun
bun/kreatininkvot,Bun
bunurea,Bun
bupaq,Bupaq
"bupaq0,3mg/ml",Bupaq
bupaqförfylldspruta,Bupaq
"bupaqmultidosvet0,3mg/ml",Bupaq
bupaqmultisdose,Bupaq
bupaqp.o,Bupaq
bupaqperml,Bupaq
bupaqvet0.3mg/ml10ml,Bupaq
bupaqvet0.3mg/ml10mlinjektinjekt,Bupaq
bupaqvet0.3mg/ml10mlinjektion,Bupaq
bupaqvet0.3mg/ml5x10ml,Bupaq
bupaqvet0.3mg/ml5x10mlinjektinjekt,Bupaq
bupaqvetinj0.3mg/ml,Bupaq
buscopan20mg/ml/ml,Buscopan
busterkrageuppblåsbarnylonblåxl,Buster
busteroriginalhundkragetransparent10cm,Buster
busteroriginalhundkragetransparent12.5cm,Buster
busteroriginalhundkragetransparent15cm,Buster
busteroriginalhundkragetransparent20cm,Buster
busteroriginalhundkragetransparent25cm,Buster
busteroriginalhundkragetransparent30cm,Buster
busterpremiumkragel,Buster
busterpremiumkragem,Buster
busterpremiumkrages,Buster
busterskenabenskenagrön,Buster
busterskenaframbens,Buster
butomidor10mg/ml,Butomidor
butomidorvet.10mg/ml10mlinjektinjekt,Butomidor
butomidorvet.10mg/ml5x10ml,Butomidor
butomidorvet.inj10mg/ml,Butomidor
butomidorvet10mg/ml,Butomidor
"butorfanolper0,1ml",Butorfanol
butterflykanyl,Butterflykanyl
c/dchickenkattvåtfoder12x85gpouch,C/D
c/dstresscat3kg,C/D
c/dstresskatt3kg,C/D
c/durinarystresskatt4kg,C/D
ca,Calcium
ca(kalcium),Calcium
calcium,Calcium
"calcium,joniserat",Calcium
calcosm,Calcium
calmivet,Calmivet
camonhandmatningsspruta2-pack,Camon
canicur15ml/tablett,Canikur
canikur15mlld,Canikur
canikur30ml,Canikur
canikur30mlld,Canikur
canikur60ml,Canikur
canikur60mlld,Canikur
canikurpro15ml,Canikur
canikurpro30ml,Canikur
canikurpro60ml,Canikur
canikurpropasta15ml,Canikur
canikurpropasta30ml,Canikur
"canikurtuggtabletter12x4,4g",Canikur
canilabtyroideastatus,Canine
canine/felinea/d156g,Canine
caninedentalcarechew,Canine
canineendoparasiteprofile(inkl.giardia),Canine
"caninei/dlowfat1,5kg",Canine
caninei/dstew354g,Canine
caninemetabolic+mobility4kg,Canine
caninez/d370g,Canine
canipreventförhudsrens100ml,Canine
canipreventld,Canine
canius60gr,Canine
caniusplus30g,Canine
caniusplus60g,Canine
caoxdi,Caoxdi
